,Sample.Name,COSMIC.identifier,Whole.Exome.Sequencing..WES.,Copy.Number.Alterations..CNA.,Gene.Expression,Methylation,Drug.Response,GDSC.Tissue.descriptor.1,GDSC.Tissue.descriptor.2,Cancer.Type..matching.TCGA.label.,Microsatellite..instability.Status..MSI.,Screen.Medium,Growth.Properties,cellid,tissueid
CHP-126,CHP-126,910567,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Suspension,CHP-126,autonomic_ganglia
CAL-54,CAL-54,910952,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,CAL-54,kidney
Calu-6,Calu-6,724859,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Calu-6,lung
EW-3,EW-3,949161,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,EW-3,bone
LS-513,LS-513,907795,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,LS-513,large_intestine
UO31,U031,905981,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,UO31,kidney
PL18,PL18,1240208,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,PL18,pancreas
NAMALWA,NAMALWA,908159,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,NAMALWA,haematopoietic_and_lymphoid_tissue
NCI-H1836,NCI-H1836,1240182,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H1836,lung
WM-115,WM-115,909784,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,WM-115,skin
C-33-A,C-33-A,687505,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSI-H,D/F12,Adherent,C-33-A,cervix
EMC-BAC-2,EMC-BAC-2,1503370,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,EMC-BAC-2,esophagus
LNZTA3WT4,LNZTA3WT4,1240170,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,LNZTA3WT4,central_nervous_system
TE-11,TE-11,946354,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,TE-11,oesophagus
H4,H4,907042,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,H4,central_nervous_system
NCI-H1092,NCI-H1092,687997,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H1092,lung
NKM-1,NKM-1,908448,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,NKM-1,haematopoietic_and_lymphoid_tissue
huH-1,huH-1,1298146,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,huH-1,liver
NCI-H2066,NCI-H2066,1330973,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,NCI-H2066,lung
NCI-H2009,NCI-H2009,724873,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H2009,lung
COLO-792,COLO-792,906814,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,COLO-792,skin
HuCCT1,HuCCT1,907069,Y,Y,Y,Y,Y,digestive_system,biliary_tract,,MSS/MSI-L,R,Adherent,HuCCT1,biliary_tract
T.T,T-T,1299064,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent,T.T,oesophagus
HT55,HT55,907287,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,HT55,large_intestine
NCI-H1573,NCI-H1573,908472,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H1573,lung
NB13,NB13,949177,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,NB13,autonomic_ganglia
HCC1143,HCC1143,749710,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC1143,breast
SW156,SW156,1240220,Y,N,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,SW156,kidney
ES3,ES3,684055,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,ES3,bone
COR-L51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COR-L51,lung
HCC1187,HCC1187,749711,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Suspension,HCC1187,breast
G-361,G-361,906865,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,G-361,skin
SU-DHL-8,SU-DHL-8,1331038,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,SU-DHL-8,haematopoietic_and_lymphoid_tissue
SK-MM-2,SK-MM-2,753612,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,SK-MM-2,haematopoietic_and_lymphoid_tissue
NCI-H1651,NCI-H1651,910900,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H1651,lung
OVCAR-3,OVCAR-3,905933,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,OVCAR-3,ovary
MOG-G-CCM,MOG-G-CCM,908144,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,MOG-G-CCM,central_nervous_system
COLO-741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COLO-741,large_intestine
Daoy,Daoy,906833,Y,Y,Y,Y,Y,nervous_system,medulloblastoma,MB,MSS/MSI-L,D/F12,Adherent,Daoy,central_nervous_system
HCC2157,HCC2157,749715,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Suspension,HCC2157,breast
GR-ST,GR-ST,906877,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSI-H,R,Suspension,GR-ST,haematopoietic_and_lymphoid_tissue
SK-MEL-24,SK-MEL-24,909725,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,SK-MEL-24,skin
JiyoyeP-2003,JiyoyeP-2003,907268,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,JiyoyeP-2003,haematopoietic_and_lymphoid_tissue
RKN,RKN,1298539,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSS/MSI-L,D/F12,Adherent,RKN,soft_tissue
NCI-H1694,NCI-H1694,688006,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H1694,lung
OV-17R,OV-17R,1480361,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,OV-17R,ovary
D-283MED,D-283MED,906834,Y,Y,Y,Y,Y,nervous_system,medulloblastoma,MB,MSS/MSI-L,D/F12,Adherent,D-283MED,central_nervous_system
DoTc2-4510,DoTc2-4510,906843,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,DoTc2-4510,cervix
Hs 746T,Hs746T,1240151,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent,Hs 746T,stomach
MOLT-16,MOLT-16,908147,Y,Y,Y,Y,Y,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension,MOLT-16,haematopoietic_and_lymphoid_tissue
SW837,SW837,909755,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,SW837,large_intestine
JHH-6,JHH-6,1240159,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,JHH-6,liver
OSC-20,OSC-20,1240196,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,OSC-20,upper_aerodigestive_tract
SW1116,SW1116,909746,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,SW1116,large_intestine
BICR 10,BICR10,1290724,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,BICR 10,oral_cavity
ES-2,ES-2,1240128,Y,Y,Y,Y,Y,urogenital_system,ovary,,MSS/MSI-L,R,Adherent,ES-2,ovary
HCC1954,HCC1954,749709,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,HCC1954,breast
Mewo,Mewo,908128,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,Mewo,skin
T-24,T-24,724812,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,T-24,urinary_tract
IM-95,IM-95,1240155,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,R,Adherent,IM-95,stomach
PSN1,PSN1,910546,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,PSN1,pancreas
SNU-C2B,SNU-C2B,909740,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent,SNU-C2B,large_intestine
SU-DHL-5,SU-DHL-5,1331036,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,SU-DHL-5,haematopoietic_and_lymphoid_tissue
639-V,639-V,906798,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,639-V,urinary_tract
8305C,8305C,906795,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent,8305C,thyroid
EPLC-272H,EPLC-272H,753556,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,EPLC-272H,lung
KYSE-70,KYSE-70,753576,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-70,oesophagus
MRK-nu-1,MRK-nu-1,908151,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Suspension,MRK-nu-1,breast
SCC-15,SCC-15,910911,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,SCC-15,upper_aerodigestive_tract
NCI-H2135,NCI-H2135,1298352,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent,NCI-H2135,lung
NCI-H1435,NCI-H1435,1298347,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Semi-Adherent,NCI-H1435,lung
SK-N-AS,SK-N-AS,724828,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,SK-N-AS,autonomic_ganglia
OE19,OE19,910079,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,OE19,oesophagus
A431,A431,910925,Y,Y,Y,Y,Y,skin,skin_other,,MSS/MSI-L,D/F12,Adherent,A431,skin
A253,A253,906794,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,,MSS/MSI-L,D/F12,Adherent,A253,skin
KOPN-8,KOPN-8,1330933,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSS/MSI-L,R,Suspension,KOPN-8,haematopoietic_and_lymphoid_tissue
MCF7,MCF7,905946,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MCF7,breast
TOV-112D,TOV-112D,1299070,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,TOV-112D,ovary
RF-48,RF-48,909697,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent,RF-48,stomach
NCI-H2085,NCI-H2085,687812,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H2085,lung
COR-L311,COR-L311,687980,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,COR-L311,lung
8-MG-BA,8-MG-BA,687562,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,8-MG-BA,central_nervous_system
NCI-H2452,NCI-H2452,908462,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,NCI-H2452,pleura
ATN-1,ATN-1,910687,Y,Y,Y,Y,Y,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension,ATN-1,haematopoietic_and_lymphoid_tissue
BOKU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOKU,cervix
KMRC-20,KMRC-20,1298169,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,KMRC-20,kidney
UM-UC-3,UM-UC-3,724838,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,UM-UC-3,urinary_tract
RO82-W-1,RO82-W-1,930083,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent,RO82-W-1,thyroid
NCI-H378,NCI-H378,688022,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H378,lung
Mo-T,Mo-T,908149,Y,Y,Y,Y,Y,leukemia,hairy_cell_leukaemia,,MSS/MSI-L,D/F12,Suspension,Mo-T,haematopoietic_and_lymphoid_tissue
MDA-MB-134-VI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDA-MB-134-VI,breast
EFM-192A,EFM-192A,1290798,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,EFM-192A,breast
BHY,BHY,753535,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,BHY,upper_aerodigestive_tract
LB2241-RCC,LB2241-RCC,753578,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,LB2241-RCC,kidney
VM-CUB-1,VM-CUB-1,909780,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,VM-CUB-1,urinary_tract
SK-LU-1,SK-LU-1,909721,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,SK-LU-1,lung
P12-ICHIKAWA,P12-ICHIKAWA,909251,Y,Y,Y,Y,Y,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension,P12-ICHIKAWA,haematopoietic_and_lymphoid_tissue
NCI-H64,NCI-H64,688026,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H64,lung
NCI-H1417,NCI-H1417,688001,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H1417,lung
Hs 940.T,Hs940-T,1298145,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,Hs 940.T,skin
UACC-62,UACC-62,905976,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,UACC-62,haematopoietic_and_lymphoid_tissue
C2BBe1,C2BBe1,910700,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,C2BBe1,large_intestine
DMS-79,DMS-79,753551,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,,R,Suspension,DMS-79,lung
LU-65,LU-65,724863,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Suspension,LU-65,lung
WIL2-NS,WIL2-NS,1331049,Y,Y,Y,Y,Y,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,R,Suspension,WIL2-NS,haematopoietic_and_lymphoid_tissue
KARPAS-422,KARPAS-422,907274,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,KARPAS-422,haematopoietic_and_lymphoid_tissue
PCI-30,PCI-30,1298529,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,PCI-30,head_and_neck
NCI-H69,NCI-H69,688027,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H69,lung
COR-L279,COR-L279,910937,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,COR-L279,lung
CAL-12T,CAL-12T,753540,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent,CAL-12T,lung
DU-4475,DU-4475,906844,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Suspension,DU-4475,breast
CAPAN-1,CAPAN-1,753624,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,CAPAN-1,pancreas
EW-7,EW-7,949160,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Semi-Adherent,EW-7,bone
LS 180,LS-180,998189,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent,LS 180,large_intestine
SBC-1,SBC-1,713885,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,SBC-1,lung
HuP-T4,HuP-T4,907286,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,HuP-T4,pancreas
P32-ISH,P32-ISH,1330987,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,P32-ISH,haematopoietic_and_lymphoid_tissue
NB10,NB10,949171,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,NB10,autonomic_ganglia
MLMA,MLMA,908142,Y,Y,Y,Y,Y,leukemia,hairy_cell_leukaemia,,MSS/MSI-L,R,Semi-Adherent,MLMA,haematopoietic_and_lymphoid_tissue
Panc 02.03,PANC-02-03,1298475,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,Panc 02.03,pancreas
SISO,SISO,1240212,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,R,Adherent,SISO,endometrium
CA46,CA46,910703,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,CA46,haematopoietic_and_lymphoid_tissue
EHEB,EHEB,906854,Y,Y,Y,Y,Y,lymphoma,lymphoid_neoplasm other,CLL,MSS/MSI-L,R,Suspension,EHEB,haematopoietic_and_lymphoid_tissue
LAMA-84,LAMA-84,907783,Y,Y,Y,Y,Y,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension,LAMA-84,haematopoietic_and_lymphoid_tissue
TE-15,TE-15,753614,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Suspension,TE-15,oesophagus
HAL-01,HAL-01,949153,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension,HAL-01,haematopoietic_and_lymphoid_tissue
NCI-H1648,NCI-H1648,687799,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,NCI-H1648,lung
NOMO-1,NOMO-1,908451,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,NOMO-1,haematopoietic_and_lymphoid_tissue
Hep 3B2.1-7,Hep 3B2_1-7,1240147,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,Hep 3B2.1-7,liver
NCI-H1105,NCI-H1105,908468,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H1105,lung
JHH-1,JHH-1,1298151,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,JHH-1,liver
CFPAC-1,CFPAC-1,906821,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,CFPAC-1,pancreas
HCT-15,HCT-15,905937,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent,HCT-15,large_intestine
FU-OV-1,FU-OV-1,1240129,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,FU-OV-1,ovary
TT2609-C02,TT2609-C02,1240223,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent,TT2609-C02,thyroid
HLE,HLE,907057,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,HLE,liver
NCI-H1734,NCI-H1734,722058,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1734,lung
NB17,NB17,949175,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,NB17,autonomic_ganglia
LB373-MEL-D,LB373-MEL-D,753581,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,LB373-MEL-D,skin
LoVo,LoVo,907790,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent,LoVo,large_intestine
COLO-680N,COLO-680N,906817,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,COLO-680N,oesophagus
BPH-1,BPH-1,924105,Y,Y,Y,Y,Y,urogenital_system,prostate,,MSS/MSI-L,R,Adherent,BPH-1,prostate
H3255,H3255,1247873,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,H3255,lung
G-MEL,G-MEL,1240130,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,G-MEL,skin
SK-MEL-5,SK-MEL-5,905956,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,SK-MEL-5,skin
SK-PN-DW,SK-PN-DW,909731,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,D/F12,Adherent,SK-PN-DW,bone
NCI-H1563,NCI-H1563,753600,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1563,lung
OCUM-1,OCUM-1,1298358,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent,OCUM-1,stomach
MDA-MB-468,MDA-MB-468,908123,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,MDA-MB-468,breast
ESO51,ESO51,1503367,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Semi-Adherent,ESO51,oesophagus
Detroit562,Detroit562,906837,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,Detroit562,upper_aerodigestive_tract
HCC2218,HCC2218,749716,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Suspension,HCC2218,breast
"G-292, clone A141B1",G-292 Clone A141B1,1290807,Y,Y,Y,Y,Y,bone,osteosarcoma,,MSS/MSI-L,R,Adherent,"G-292, clone A141B1",bone
SW1990,SW1990,910907,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,SW1990,pancreas
J82,J82,753566,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,J82,urinary_tract
RCC-MF,RCC-MF,1524419,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,RCC-MF,kidney
SW1463,SW1463,909748,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,SW1463,large_intestine
SU-DHL-6,SU-DHL-6,1331037,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,SU-DHL-6,haematopoietic_and_lymphoid_tissue
CAL-33,CAL-33,753541,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,CAL-33,upper_aerodigestive_tract
DB,DB,906832,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,DB,haematopoietic_and_lymphoid_tissue
HH,HH,907056,Y,Y,Y,Y,Y,leukemia,T_cell_leukemia,,MSS/MSI-L,R,Suspension,HH,haematopoietic_and_lymphoid_tissue
MOLT-13,MOLT-13,908146,Y,Y,Y,Y,Y,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSI-H,R,Suspension,MOLT-13,haematopoietic_and_lymphoid_tissue
SW620,SW620,905962,Y,Y,Y,N,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,SW620,large_intestine
JHH-7,JHH-7,1240160,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,D/F12,Adherent,JHH-7,liver
OV-90,OV-90,1240197,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,OV-90,ovary
SW13,SW13,909744,Y,Y,Y,Y,Y,kidney,adrenal_gland,ACC,MSS/MSI-L,D/F12,Adherent,SW13,adrenal_gland
RERF-LC-KJ,RERF-LC-KJ,1298537,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,RERF-LC-KJ,lung
EW-22,EW-22,949167,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,EW-22,bone
HT-144,HT-144,907067,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,HT-144,skin
ME-180,ME-180,687514,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,ME-180,cervix
